,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
140,141,87.0,,Sports,Electronic Arts,Madden NFL 2004,4.26,0.26,0.01,0.71,5.23
141,142,91.0,2004,Role-Playing,Square Enix,Dragon Quest VIII: Journey of the Cursed King,0.65,0.75,3.61,0.2,5.21
142,143,87.64,2012,Role-Playing,Activision,Diablo III,1.995,1.62,0.0,0.51,4.125
143,144,84.68,2012,Platform,Nintendo,New Super Mario Bros. U,1.525,0.805,0.88,0.21,3.41
144,145,85.0,1994,Platform,Nintendo,Super Mario Land 3: Wario Land,2.49,0.98,1.57,0.15,5.19
145,146,81.0,2012,Action,Electronic Arts,FIFA Soccer 13,0.9950000000000001,3.24,0.02,0.5700000000000001,4.83
146,147,90.0,2007,Action,Nintendo,The Legend of Zelda: Phantom Hourglass,1.845,1.7850000000000001,0.95,0.48,5.0600000000000005
147,148,90.0,1995,Platform,Nintendo,Donkey Kong Country 2: Diddy's Kong Quest,2.1,0.74,2.2,0.11,5.15
148,149,73.0,2008,Sports,Sega,Mario & Sonic at the Olympic Games,1.625,2.435,0.44,0.575,5.074999999999999
149,150,73.0,2003,Shooter,Electronic Arts,Medal of Honor: Rising Sun,1.98,2.23,0.13,0.8,5.13
150,151,81.0,1992,Platform,Nintendo,Kirby's Dream Land,2.71,0.61,1.7,0.11,5.13
151,152,80.23,2010,Role-Playing,Microsoft Game Studios,Fable III,3.505,1.05,0.05,0.41000000000000003,5.02
152,153,73.0,1996,Simulation,Microsoft Game Studios,Microsoft Flight Simulator,3.22,1.69,0.0,0.2,5.12
153,154,90.0,2006,Misc,RedOctane,Guitar Hero II,3.81,0.63,0.0,0.68,5.12
154,155,87.11,2009,Action,Capcom,Resident Evil 5,1.9,1.375,1.08,0.63,4.975
155,156,87.54,2006,Action,Take-Two Interactive,Grand Theft Auto: Vice City Stories,1.68,1.92,0.16,1.165,4.92
156,157,86.0,2010,Sports,Electronic Arts,FIFA Soccer 11,0.585,3.255,0.06,1.095,4.995
157,158,88.0,1996,Action,Virgin Interactive,Resident Evil,2.05,1.16,1.11,0.73,5.05
158,159,89.0,1999,Sports,Activision,Tony Hawk's Pro Skater,3.42,1.38,0.02,0.2,5.02
159,160,73.37,1999,Strategy,Eidos Interactive,Warzone 2100,2.79,1.89,0.0,0.33,5.01
160,161,86.0,1998,Platform,Sony Computer Entertainment,Spyro the Dragon,3.36,1.36,0.07,0.21,5.0
161,162,76.0,2007,Shooter,Nintendo,Link's Crossbow Training,3.045,1.18,0.2899999999999999,0.46499999999999997,4.984999999999999
162,163,86.0,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.49,0.53,0.01,0.955,4.98
163,164,92.85,2008,Role-Playing,Bethesda Softworks,Fallout 3,3.04,0.9450000000000001,0.09,0.405,4.49
164,165,89.0,2007,Action,Sony Computer Entertainment,Uncharted: Drake's Fortune,2.2199999999999998,1.655,0.12,0.75,4.745
165,166,85.15,2005,Sports,Electronic Arts,Madden NFL 06,3.98,0.26,0.01,0.66,4.91
166,167,82.0,2007,Action,LucasArts,LEGO Star Wars: The Complete Saga,2.795,1.425,0.0,0.45,4.675000000000001
167,168,81.0,1997,Racing,Nintendo,Diddy Kong Racing,2.91,0.99,0.89,0.1,4.88
168,169,82.0,1990,Puzzle,Nintendo,Dr. Mario,2.62,0.6,1.52,0.1,4.85
169,170,92.63,2010,Action,Sony Computer Entertainment,God of War III,2.7,1.2650000000000001,0.12,0.605,4.6850000000000005
170,171,91.0,2010,Strategy,Activision,StarCraft II: Wings of Liberty,2.375,1.4449999999999998,0.0,0.5349999999999999,4.36
171,172,79.3,2007,Adventure,Ubisoft,Assassin's Creed,1.855,1.935,0.09,0.8049999999999999,4.68
172,173,91.78,1999,Racing,Sony Computer Entertainment,Crash Team Racing,2.57,1.57,0.44,0.21,4.79
173,174,93.88,2011,Action,Warner Bros. Interactive Entertainment,Batman: Arkham City,2.595,1.19,0.035,0.38,4.205
174,175,69.2,2000,Action,Atari,Driver 2,2.36,2.1,0.02,0.25,4.73
175,176,77.87,2003,Racing,Vivendi Games,The Simpsons: Hit & Run,1.73,2.19,0.0,0.79,4.7
176,177,92.0,2000,Sports,Activision,Tony Hawk's Pro Skater 2,3.05,1.41,0.02,0.2,4.68
177,178,73.54,2008,Simulation,Nintendo,Animal Crossing: City Folk,1.82,1.065,1.32,0.36,4.5600000000000005
178,179,83.24,2002,Action,Electronic Arts,The Lord of the Rings: The Two Towers,1.94,1.95,0.08,0.7,4.67
179,180,90.66,2011,Racing,Microsoft Game Studios,Forza Motorsport 4,1.92,1.8599999999999999,0.055,0.44499999999999995,4.279999999999999
180,181,90.02,1996,Action,Eidos Interactive,Tomb Raider,2.29,1.97,0.13,0.24,4.63
181,182,88.0,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.0300000000000002,1.105,0.0,0.435,4.575
182,183,94.0,1991,Action,Nintendo,The Legend of Zelda: A Link to the Past,2.42,0.91,1.15,0.13,4.61
183,184,94.43,2002,Action,Nintendo,The Legend of Zelda: The Wind Waker,2.6,0.99,0.89,0.13,4.6
184,185,78.0,2009,Sports,Sega,Mario & Sonic at the Olympic Winter Games,1.8599999999999999,1.915,0.22,0.475,4.475
185,186,86.0,2007,Misc,Activision,Guitar Hero III: Legends of Rock,3.1399999999999997,0.9,0.01,0.415,4.46
186,187,89.0,2004,Sports,Electronic Arts,Madden NFL 2005,4.18,0.26,0.01,0.08,4.53
